=====================
  Training Session  
=====================
Name:		Osama Mohamed
Session:	Session_2014_05_10_71422
Date:		2014-05-10 19-51-00
Comments:	dummy
Trials:		4
TrialsPerClass:	2
BlankTime:	2
SteadyTime:	1
TrainingTime:	4
Triggers:	12753, 13642, 14531, 15419
ClassesTypes:	2, 1, 1, 2
ClassesNames:	RIGHT, LEFT

RawData:
Count,	F3,	FC5,	AF3,	F7,	T7,	P7,	O1,	O2,	P8,	T8,	F8,	AF4,	FC6,	F4,	Q_F3,	Q_FC5,	Q_AF3,	Q_F7,	Q_T7,	Q_P7,	Q_O1,	Q_O2,	Q_P8,	Q_T8,	Q_F8,	Q_AF4,	Q_FC6,	Q_F4,	GyroX,	GyroY
46,	8175,	7830,	8029,	8388,	8875,	8539,	8506,	8239,	8368,	8331,	8731,	8674,	8365,	8936,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1691,	1678
47,	8225,	7867,	8079,	8433,	8883,	8552,	8526,	8266,	8385,	8359,	8789,	8734,	8425,	8984,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1689,	1674
48,	8264,	7900,	8109,	8460,	8923,	8588,	8562,	8328,	8432,	8405,	8822,	8768,	8465,	9028,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1688,	1670
49,	8217,	7870,	8065,	8422,	8877,	8563,	8522,	8279,	8375,	8364,	8767,	8719,	8404,	8984,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1688,	1669
50,	8202,	7855,	8056,	8418,	8853,	8539,	8497,	8236,	8345,	8333,	8757,	8704,	8385,	8963,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1687,	1668
51,	8242,	7877,	8096,	8445,	8917,	8559,	8523,	8272,	8401,	8384,	8794,	8740,	8431,	9004,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1688,	1668
52,	8255,	7887,	8105,	8447,	8937,	8571,	8535,	8299,	8426,	8399,	8787,	8754,	8443,	9023,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1686,	1665
53,	8268,	7895,	8112,	8459,	8923,	8584,	8558,	8332,	8436,	8375,	8804,	8773,	8450,	9030,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1686,	1662
54,	8286,	7902,	8129,	8476,	8936,	8594,	8577,	8349,	8449,	8392,	8842,	8796,	8467,	9044,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1686,	1656
55,	8284,	7900,	8128,	8472,	8916,	8574,	8559,	8324,	8433,	8414,	8830,	8791,	8457,	9046,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1684,	1655
