=====================
  Training Session  
=====================
Name:		Mohamed Nour El-Din
Session:	Session_2014_05_10_71422
Date:		2014-05-10 20-34-09
Trials:		4
TrialsPerClass:	2
BlankTime:	2
SteadyTime:	1
TrainingTime:	4
Triggers:	3651, 4539, 5427, 6316
ClassesTypes:	1, 1, 2, 2
ClassesNames:	RIGHT, LEFT

RawData:
Count,	F3,	FC5,	AF3,	F7,	T7,	P7,	O1,	O2,	P8,	T8,	F8,	AF4,	FC6,	F4,	Q_F3,	Q_FC5,	Q_AF3,	Q_F7,	Q_T7,	Q_P7,	Q_O1,	Q_O2,	Q_P8,	Q_T8,	Q_F8,	Q_AF4,	Q_FC6,	Q_F4,	GyroX,	GyroY
16,	8090,	7751,	7673,	8369,	8851,	8141,	8476,	8499,	8307,	8327,	8803,	8814,	8683,	8841,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1707,	1678
17,	8104,	7779,	7683,	8383,	8862,	8151,	8494,	8492,	8293,	8322,	8791,	8797,	8666,	8876,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1707,	1677
18,	8094,	7762,	7674,	8375,	8847,	8144,	8489,	8495,	8297,	8319,	8803,	8798,	8675,	9022,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1704,	1677
19,	8098,	7759,	7675,	8372,	8845,	8139,	8491,	8500,	8304,	8323,	8797,	8810,	8679,	9111,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1702,	1677
20,	8096,	7782,	7675,	8383,	8858,	8154,	8493,	8489,	8293,	8319,	8780,	8786,	8669,	8990,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1700,	1677
21,	8092,	7752,	7671,	8364,	8851,	8134,	8479,	8501,	8300,	8328,	8798,	8800,	8680,	8858,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1697,	1680
22,	8100,	7774,	7681,	8376,	8854,	8144,	8494,	8492,	8295,	8322,	8794,	8805,	8668,	8870,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1694,	1683
23,	8092,	7778,	7681,	8380,	8851,	8151,	8488,	8495,	8297,	8320,	8794,	8791,	8669,	9004,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1692,	1685
24,	8098,	7752,	7677,	8360,	8853,	8142,	8481,	8508,	8303,	8335,	8799,	8802,	8677,	9106,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1690,	1686
25,	8101,	7774,	7682,	8378,	8858,	8154,	8490,	8490,	8294,	8329,	8781,	8794,	8663,	9003,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1688,	1691
26,	8095,	7766,	7682,	8377,	8845,	8134,	8485,	8501,	8302,	8328,	8785,	8794,	8666,	8875,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1689,	1692
27,	8099,	7762,	7688,	8372,	8851,	8144,	8493,	8503,	8302,	8331,	8792,	8800,	8665,	8862,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1687,	1695
28,	8097,	7778,	7690,	8384,	8856,	8163,	8487,	8487,	8293,	8320,	8784,	8792,	8661,	8974,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1688,	1696
29,	8094,	7762,	7690,	8371,	8846,	8137,	8477,	8498,	8300,	8324,	8787,	8797,	8663,	9103,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1687,	1699
30,	8098,	7773,	7696,	8370,	8854,	8142,	8495,	8498,	8299,	8330,	8783,	8788,	8650,	9023,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1689,	1700
31,	8096,	7775,	7693,	8374,	8849,	8144,	8488,	8503,	8303,	8327,	8780,	8797,	8655,	8866,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1689,	1699
32,	8098,	7765,	7695,	8376,	8846,	8146,	8478,	8500,	8306,	8328,	8787,	8806,	8656,	8830,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1691,	1700
33,	8103,	7780,	7706,	8383,	8856,	8157,	8492,	8490,	8291,	8321,	8780,	8791,	8637,	8950,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1692,	1699
34,	8099,	7768,	7710,	8379,	8850,	8140,	8483,	8511,	8298,	8322,	8792,	8796,	8643,	9098,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1694,	1698
35,	8098,	7768,	7709,	8381,	8854,	8155,	8485,	8497,	8304,	8327,	8794,	8788,	8641,	9040,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1695,	1696
36,	8098,	7779,	7710,	8379,	8853,	8152,	8497,	8492,	8294,	8328,	8784,	8788,	8630,	8886,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1696,	1695
37,	8095,	7769,	7718,	8383,	8849,	8141,	8484,	8506,	8301,	8328,	8794,	8797,	8640,	8825,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1697,	1692
38,	8098,	7778,	7716,	8386,	8860,	8158,	8495,	8487,	8294,	8322,	8785,	8780,	8629,	8924,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1696,	1691
39,	8093,	7773,	7715,	8373,	8852,	8145,	8494,	8498,	8294,	8332,	8788,	8789,	8627,	9089,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1699,	1688
40,	8091,	7773,	7724,	8378,	8857,	8157,	8486,	8496,	8299,	8334,	8793,	8794,	8636,	9054,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1699,	1686
41,	8090,	7784,	7715,	8380,	8863,	8166,	8498,	8485,	8290,	8322,	8779,	8788,	8622,	8906,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1699,	1684
42,	8086,	7767,	7716,	8378,	8853,	8147,	8482,	8505,	8301,	8333,	8792,	8801,	8623,	8840,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1700,	1682
43,	8093,	7777,	7729,	8380,	8862,	8158,	8486,	8492,	8298,	8333,	8785,	8787,	8616,	8913,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1699,	1680
44,	8089,	7779,	7722,	8371,	8860,	8146,	8495,	8496,	8296,	8326,	8779,	8792,	8612,	9067,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1699,	1678
45,	8093,	7770,	7725,	8378,	8856,	8155,	8480,	8498,	8305,	8329,	8790,	8800,	8615,	9075,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1698,	1678
46,	8103,	7779,	7732,	8385,	8855,	8164,	8488,	8487,	8292,	8323,	8779,	8788,	8610,	8928,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1699,	1677
47,	8090,	7765,	7733,	8375,	8851,	8144,	8490,	8505,	8298,	8330,	8792,	8798,	8617,	8821,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1698,	1677
48,	8094,	7778,	7740,	8379,	8863,	8162,	8491,	8492,	8299,	8328,	8792,	8788,	8612,	8888,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1697,	1681
49,	8096,	7778,	7736,	8381,	8857,	8147,	8494,	8495,	8293,	8324,	8783,	8787,	8610,	9063,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1697,	1682
50,	8088,	7768,	7735,	8385,	8850,	8147,	8491,	8503,	8303,	8335,	8795,	8792,	8615,	9101,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1694,	1683
51,	8100,	7785,	7737,	8381,	8858,	8167,	8495,	8487,	8296,	8329,	8779,	8784,	8613,	8939,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1693,	1686
52,	8091,	7765,	7730,	8369,	8852,	8146,	8490,	8500,	8305,	8331,	8787,	8793,	8617,	8810,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1692,	1686
53,	8093,	7779,	7733,	8380,	8853,	8163,	8497,	8491,	8302,	8331,	8788,	8785,	8608,	8874,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1695,	1689
54,	8108,	7789,	7733,	8377,	8852,	8159,	8497,	8489,	8292,	8327,	8772,	8789,	8609,	9036,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1697,	1692
55,	8087,	7763,	7726,	8372,	8854,	8151,	8488,	8498,	8313,	8337,	8793,	8793,	8617,	9083,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1699,	1695
56,	8105,	7790,	7734,	8382,	8862,	8169,	8498,	8485,	8294,	8322,	8775,	8779,	8606,	8959,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1701,	1694
57,	8103,	7769,	7722,	8371,	8846,	8144,	8487,	8498,	8295,	8333,	8783,	8799,	8620,	8840,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1700,	1696
58,	8084,	7759,	7718,	8379,	8850,	8162,	8487,	8490,	8315,	8349,	8802,	8792,	8627,	8865,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1704,	1696
59,	8109,	7800,	7727,	8388,	8859,	8173,	8501,	8487,	8291,	8328,	8770,	8779,	8618,	9010,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1703,	1696
60,	8095,	7770,	7716,	8373,	8845,	8150,	8488,	8499,	8307,	8338,	8794,	8800,	8630,	9093,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1705,	1696
61,	8088,	7775,	7718,	8381,	8851,	8175,	8492,	8480,	8311,	8339,	8797,	8790,	8622,	8973,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1705,	1694
62,	8103,	7783,	7725,	8378,	8848,	8165,	8491,	8493,	8300,	8328,	8781,	8790,	8624,	8846,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1704,	1692
63,	8095,	7770,	7719,	8377,	8849,	8164,	8486,	8492,	8308,	8337,	8794,	8790,	8634,	8857,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1702,	1689
64,	8096,	7789,	7717,	8388,	8857,	8180,	8496,	8478,	8295,	8331,	8781,	8779,	8626,	8988,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1701,	1689
65,	8087,	7767,	7716,	8377,	8847,	8162,	8482,	8497,	8307,	8342,	8794,	8794,	8639,	9090,	0.00,	0.03,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1699,	1686
66,	8098,	7783,	7722,	8382,	8856,	8170,	8488,	8478,	8308,	8344,	8786,	8783,	8629,	8987,	0.00,	0.03,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1697,	1687
67,	8098,	7782,	7716,	8376,	8856,	8156,	8489,	8481,	8303,	8330,	8780,	8784,	8625,	8852,	0.00,	0.03,	0.00,	0.01,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1696,	1686
68,	8085,	7757,	7710,	8367,	8855,	8164,	8477,	8487,	8308,	8335,	8800,	8789,	8642,	8836,	0.00,	0.03,	0.00,	0.01,	0.01,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1693,	1686
69,	8108,	7803,	7717,	8384,	8863,	8196,	8502,	8461,	8288,	8327,	8769,	8768,	8628,	8972,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.00,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1693,	1686
70,	8084,	7760,	7708,	8367,	8845,	8156,	8479,	8492,	8315,	8345,	8798,	8804,	8649,	9082,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.00,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1691,	1686
71,	8095,	7768,	7707,	8374,	8870,	8171,	8485,	8483,	8303,	8341,	8798,	8788,	8643,	8975,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1692,	1686
72,	8126,	7835,	7695,	8405,	8882,	8220,	8524,	8453,	8261,	8318,	8742,	8745,	8612,	8883,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.00,	0.00,	0.01,	0.00,	0.00,	1694,	1684
73,	8074,	7738,	7685,	8375,	8833,	8192,	8467,	8477,	8320,	8352,	8824,	8825,	8672,	8919,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.00,	0.01,	0.00,	0.00,	1693,	1684
74,	8099,	7761,	7705,	8374,	8856,	8207,	8476,	8451,	8299,	8326,	8813,	8808,	8664,	8956,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.00,	0.01,	0.00,	0.00,	1694,	1683
75,	8113,	7816,	7693,	8396,	8872,	8223,	8511,	8443,	8266,	8299,	8762,	8761,	8628,	8965,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.00,	0.04,	0.00,	0.00,	1694,	1684
76,	8082,	7760,	7685,	8378,	8848,	8205,	8479,	8459,	8305,	8329,	8817,	8812,	8665,	8948,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.00,	0.04,	0.04,	0.00,	1695,	1685
77,	8113,	7792,	7700,	8377,	8863,	8215,	8493,	8447,	8279,	8313,	8791,	8798,	8655,	8946,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.00,	0.04,	0.04,	0.19,	1695,	1686
78,	8095,	7778,	7690,	8379,	8856,	8212,	8491,	8460,	8285,	8318,	8790,	8794,	8656,	8919,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.04,	0.04,	0.04,	0.19,	1696,	1685
79,	8097,	7775,	7694,	8384,	8851,	8222,	8486,	8453,	8291,	8316,	8797,	8796,	8660,	8928,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.04,	0.03,	0.04,	0.19,	1694,	1686
80,	8111,	7797,	7696,	8383,	8853,	8223,	8494,	8449,	8278,	8305,	8780,	8789,	8646,	8993,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.04,	0.03,	0.03,	0.19,	1696,	1687
81,	8091,	7769,	7692,	8378,	8853,	8221,	8480,	8451,	8297,	8320,	8805,	8808,	8655,	8988,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.04,	0.03,	0.03,	0.18,	1695,	1687
82,	8108,	7787,	7698,	8384,	8856,	8232,	8484,	8445,	8279,	8304,	8796,	8790,	8650,	8916,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.00,	0.03,	0.03,	0.18,	1695,	1689
83,	8094,	7776,	7691,	8380,	8851,	8226,	8486,	8454,	8290,	8311,	8800,	8793,	8656,	8887,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.00,	0.03,	0.03,	0.18,	1695,	1690
84,	8099,	7771,	7696,	8381,	8853,	8231,	8485,	8442,	8289,	8321,	8805,	8801,	8659,	8929,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.00,	0.03,	0.01,	0.18,	1694,	1692
85,	8107,	7765,	7703,	8374,	8843,	8206,	8480,	8461,	8277,	8314,	8800,	8809,	8658,	8999,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.00,	0.03,	0.01,	0.18,	1695,	1692
86,	8089,	7771,	7697,	8381,	8861,	8229,	8489,	8454,	8290,	8311,	8794,	8800,	8646,	8972,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.01,	0.03,	0.01,	0.18,	1694,	1693
87,	8110,	7813,	7706,	8397,	8869,	8252,	8504,	8428,	8271,	8297,	8772,	8781,	8630,	8924,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.01,	0.00,	0.01,	0.18,	1695,	1692
88,	8097,	7774,	7707,	8374,	8842,	8210,	8485,	8458,	8292,	8311,	8801,	8807,	8646,	8934,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.01,	0.00,	0.01,	0.18,	1695,	1692
89,	8098,	7785,	7713,	8376,	8852,	8240,	8491,	8437,	8295,	8306,	8806,	8800,	8637,	8936,	0.00,	0.03,	0.00,	0.01,	0.01,	0.03,	0.04,	0.01,	0.00,	0.04,	0.01,	0.00,	0.01,	0.22,	1696,	1692
