=====================
  Training Session  
=====================
Name:		Mohamed Nour El-Din
Session:	Session_2014_05_10_71422
Date:		2014-05-10 20-43-17
Comments:	Blink Test
Trials:		4
TrialsPerClass:	2
BlankTime:	2
SteadyTime:	1
TrainingTime:	4
Triggers:	1882, 2770, 3659, 4547
ClassesTypes:	1, 1, 2, 2
ClassesNames:	RIGHT, LEFT

RawData:
Count,	F3,	FC5,	AF3,	F7,	T7,	P7,	O1,	O2,	P8,	T8,	F8,	AF4,	FC6,	F4,	Q_F3,	Q_FC5,	Q_AF3,	Q_F7,	Q_T7,	Q_P7,	Q_O1,	Q_O2,	Q_P8,	Q_T8,	Q_F8,	Q_AF4,	Q_FC6,	Q_F4,	GyroX,	GyroY
72,	8185,	7882,	8154,	8549,	8903,	8614,	8618,	8425,	8368,	8297,	8814,	8816,	8457,	8957,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	8.67,	0.92,	0.00,	0.00,	0.00,	0.00,	0.00,	1691,	1704
73,	8157,	7855,	8125,	8516,	8876,	8586,	8570,	8416,	8343,	8253,	8766,	8789,	8421,	8930,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	8.67,	0.92,	10.81,	13.33,	4.09,	12.46,	3.69,	1690,	1704
74,	8135,	7836,	8102,	8484,	8867,	8584,	8554,	8420,	8346,	8236,	8749,	8775,	8392,	8910,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	8.67,	0.92,	10.81,	13.33,	4.09,	12.46,	3.69,	1688,	1703
75,	8153,	7861,	8122,	8518,	8889,	8599,	8578,	8428,	8363,	8259,	8782,	8793,	8412,	8925,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	8.67,	0.92,	10.81,	13.33,	4.09,	12.46,	3.69,	1686,	1704
76,	8195,	7885,	8158,	8558,	8892,	8608,	8597,	8427,	8370,	8269,	8805,	8826,	8439,	8958,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	8.67,	0.92,	10.81,	13.33,	4.09,	12.46,	3.69,	1686,	1704
77,	8211,	7892,	8172,	8560,	8901,	8615,	8616,	8426,	8379,	8292,	8822,	8837,	8467,	8967,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	8.67,	0.92,	10.81,	13.33,	4.09,	12.46,	3.69,	1685,	1704
78,	8190,	7884,	8162,	8539,	8915,	8617,	8620,	8432,	8375,	8309,	8822,	8828,	8473,	8956,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	8.67,	0.92,	10.81,	13.33,	4.09,	12.46,	3.69,	1684,	1704
79,	8171,	7864,	8144,	8517,	8900,	8611,	8596,	8424,	8357,	8284,	8793,	8811,	8439,	8945,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	8.67,	0.92,	10.81,	13.33,	4.09,	12.46,	3.69,	1683,	1706
80,	8162,	7858,	8136,	8508,	8880,	8598,	8577,	8413,	8359,	8271,	8779,	8802,	8423,	8939,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	8.67,	0.92,	10.81,	13.33,	4.09,	12.46,	3.69,	1684,	1705
81,	8175,	7871,	8152,	8519,	8876,	8596,	8577,	8421,	8371,	8288,	8799,	8822,	8451,	8952,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	8.67,	0.92,	10.81,	13.33,	4.09,	12.46,	3.69,	1683,	1707
