=====================
  Training Session  
=====================
Name:		Ahmed Hemaly
Session:	Session_2014_05_18_66654
Date:		2014-05-18 18-32-18
Comments:	
Trials:		10
TrialsPerClass:	5
BlankTime:	2
SteadyTime:	1
TrainingTime:	4
Triggers:	10362, 11251, 12139, 13027, 13915, 14804, 15692, 16580, 17469, 18357
ClassesTypes:	1, 1, 1, 1, 2, 1, 2, 2, 2, 2
ClassesNames:	RIGHT, LEFT

RawData:
Count,	F3,	FC5,	AF3,	F7,	T7,	P7,	O1,	O2,	P8,	T8,	F8,	AF4,	FC6,	F4,	Q_F3,	Q_FC5,	Q_AF3,	Q_F7,	Q_T7,	Q_P7,	Q_O1,	Q_O2,	Q_P8,	Q_T8,	Q_F8,	Q_AF4,	Q_FC6,	Q_F4,	GyroX,	GyroY
61,	8121,	7786,	8015,	8231,	8647,	8467,	8493,	8331,	8210,	8211,	8711,	8702,	8269,	8887,	14.58,	14.40,	13.48,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1697,	1699
62,	8136,	7797,	8020,	8241,	8659,	8451,	8484,	8331,	8188,	8185,	8698,	8700,	8243,	8893,	14.58,	14.40,	13.48,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1697,	1700
63,	8132,	7775,	7999,	8245,	8659,	8439,	8473,	8312,	8185,	8194,	8680,	8678,	8203,	8875,	14.58,	14.40,	13.48,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1698,	1700
64,	8103,	7770,	7981,	8248,	8643,	8453,	8464,	8282,	8172,	8199,	8670,	8654,	8214,	8838,	14.58,	14.40,	13.48,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1698,	1702
65,	8098,	7785,	7982,	8250,	8658,	8464,	8460,	8276,	8150,	8173,	8659,	8648,	8220,	8832,	14.58,	14.40,	13.48,	1.76,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1700,	1701
66,	8103,	7769,	7975,	8243,	8679,	8462,	8458,	8274,	8141,	8148,	8636,	8629,	8167,	8838,	14.58,	14.40,	13.48,	1.76,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1698,	1702
67,	8101,	7748,	7964,	8236,	8660,	8473,	8471,	8270,	8149,	8154,	8607,	8601,	8148,	8821,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.86,	13.85,	14.65,	13.59,	1700,	1702
68,	8097,	7760,	7958,	8232,	8638,	8486,	8496,	8289,	8172,	8177,	8601,	8598,	8177,	8811,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.86,	13.85,	14.65,	13.59,	1700,	1699
69,	8084,	7784,	7954,	8230,	8644,	8472,	8493,	8314,	8205,	8201,	8632,	8618,	8199,	8836,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.86,	13.85,	14.65,	13.59,	1700,	1699
70,	8091,	7804,	7967,	8244,	8650,	8465,	8478,	8324,	8220,	8218,	8664,	8645,	8230,	8873,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.86,	13.85,	14.65,	13.59,	1701,	1696
71,	8125,	7806,	7998,	8270,	8633,	8473,	8482,	8320,	8221,	8228,	8675,	8670,	8247,	8890,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.86,	13.85,	14.65,	13.59,	1701,	1696
72,	8123,	7787,	7997,	8285,	8620,	8467,	8491,	8314,	8218,	8229,	8670,	8665,	8235,	8881,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.86,	13.85,	14.65,	13.59,	1702,	1694
73,	8099,	7774,	7980,	8259,	8621,	8458,	8486,	8321,	8219,	8220,	8668,	8644,	8245,	8880,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.86,	13.85,	14.65,	13.59,	1702,	1696
74,	8112,	7766,	7989,	8226,	8614,	8463,	8483,	8336,	8237,	8235,	8682,	8648,	8264,	8889,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.86,	13.85,	14.65,	13.59,	1703,	1696
75,	8133,	7761,	7999,	8245,	8597,	8457,	8477,	8334,	8237,	8257,	8698,	8662,	8273,	8882,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.86,	13.85,	14.65,	13.59,	1703,	1696
76,	8142,	7779,	8002,	8257,	8575,	8450,	8480,	8324,	8213,	8226,	8690,	8657,	8281,	8890,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.86,	13.85,	14.65,	13.59,	1704,	1695
77,	8135,	7793,	7990,	8251,	8564,	8462,	8497,	8314,	8203,	8185,	8659,	8638,	8252,	8894,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.86,	13.85,	14.65,	13.59,	1703,	1693
78,	8102,	7791,	7964,	8278,	8589,	8464,	8483,	8292,	8201,	8202,	8647,	8611,	8212,	8847,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.65,	13.59,	1704,	1692
79,	8078,	7785,	7952,	8285,	8617,	8462,	8463,	8279,	8205,	8237,	8665,	8596,	8226,	8807,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.65,	13.59,	1702,	1691
80,	8079,	7778,	7949,	8249,	8596,	8476,	8473,	8291,	8216,	8223,	8671,	8597,	8244,	8821,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.65,	13.59,	1702,	1692
81,	8078,	7778,	7947,	8246,	8567,	8475,	8481,	8294,	8210,	8201,	8653,	8589,	8233,	8834,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.65,	13.59,	1702,	1691
82,	8070,	7775,	7948,	8262,	8571,	8469,	8481,	8285,	8193,	8208,	8642,	8574,	8237,	8821,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.67,	13.59,	1701,	1692
83,	8069,	7759,	7943,	8240,	8571,	8481,	8491,	8288,	8197,	8211,	8639,	8565,	8236,	8813,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.67,	13.59,	1701,	1691
84,	8069,	7752,	7939,	8223,	8554,	8483,	8498,	8293,	8205,	8199,	8646,	8564,	8231,	8822,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.67,	13.59,	1701,	1691
85,	8072,	7754,	7949,	8228,	8550,	8477,	8499,	8285,	8192,	8192,	8659,	8576,	8252,	8838,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.67,	13.61,	1700,	1691
86,	8079,	7754,	7962,	8232,	8548,	8472,	8493,	8267,	8176,	8190,	8653,	8583,	8265,	8841,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.67,	13.61,	1700,	1692
87,	8075,	7762,	7956,	8242,	8531,	8456,	8473,	8255,	8168,	8179,	8628,	8562,	8242,	8824,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.82,	14.67,	13.61,	1700,	1692
88,	8067,	7762,	7943,	8239,	8531,	8443,	8459,	8248,	8157,	8154,	8606,	8538,	8222,	8805,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.82,	14.68,	13.61,	1700,	1693
89,	8072,	7753,	7945,	8234,	8550,	8449,	8466,	8238,	8143,	8139,	8595,	8537,	8229,	8805,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.82,	14.68,	13.60,	1700,	1691
90,	8090,	7766,	7962,	8257,	8570,	8464,	8480,	8241,	8148,	8152,	8614,	8553,	8250,	8828,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.81,	13.82,	14.68,	13.60,	1700,	1690
91,	8098,	7775,	7969,	8276,	8576,	8471,	8486,	8252,	8155,	8159,	8636,	8556,	8253,	8838,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.81,	13.84,	14.68,	13.60,	1700,	1688
92,	8084,	7757,	7962,	8267,	8558,	8464,	8479,	8254,	8146,	8142,	8618,	8535,	8238,	8820,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.81,	13.84,	14.68,	13.60,	1699,	1688
93,	8080,	7751,	7961,	8263,	8549,	8447,	8464,	8242,	8142,	8145,	8593,	8518,	8233,	8814,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.81,	13.84,	14.68,	13.57,	1699,	1688
94,	8093,	7760,	7962,	8267,	8557,	8440,	8462,	8241,	8154,	8167,	8596,	8516,	8235,	8821,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.84,	13.84,	14.68,	13.57,	1699,	1689
95,	8099,	7766,	7960,	8270,	8564,	8455,	8482,	8249,	8157,	8176,	8602,	8519,	8237,	8817,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.84,	13.84,	14.68,	13.57,	1700,	1688
96,	8094,	7764,	7971,	8276,	8568,	8461,	8485,	8231,	8133,	8156,	8597,	8520,	8236,	8819,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.84,	13.84,	14.65,	13.57,	1698,	1689
97,	8094,	7752,	7976,	8276,	8576,	8447,	8465,	8201,	8109,	8131,	8591,	8506,	8231,	8823,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.84,	13.84,	14.65,	13.59,	1700,	1689
98,	8094,	7740,	7963,	8269,	8583,	8440,	8472,	8217,	8130,	8142,	8588,	8485,	8234,	8816,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.81,	13.84,	14.65,	13.59,	1700,	1687
99,	8095,	7748,	7971,	8275,	8591,	8444,	8488,	8259,	8169,	8165,	8602,	8495,	8251,	8823,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.81,	13.81,	14.65,	13.59,	1700,	1688
100,	8105,	7771,	8000,	8298,	8595,	8441,	8481,	8257,	8165,	8169,	8632,	8517,	8273,	8846,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.81,	13.81,	14.65,	13.59,	1701,	1685
101,	8109,	7775,	8005,	8307,	8596,	8449,	8488,	8238,	8150,	8177,	8629,	8503,	8270,	8851,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.81,	13.81,	14.65,	13.57,	1700,	1686
102,	8096,	7761,	7995,	8297,	8620,	8465,	8509,	8246,	8166,	8191,	8605,	8483,	8251,	8839,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.81,	14.65,	13.57,	1701,	1685
103,	8099,	7766,	8004,	8300,	8630,	8456,	8499,	8257,	8179,	8191,	8628,	8505,	8260,	8850,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.65,	13.57,	1700,	1684
104,	8120,	7780,	8025,	8317,	8609,	8439,	8475,	8240,	8168,	8194,	8671,	8534,	8292,	8868,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.68,	13.57,	1699,	1683
105,	8120,	7776,	8030,	8313,	8628,	8446,	8478,	8222,	8161,	8199,	8668,	8522,	8290,	8859,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.68,	13.60,	1699,	1682
106,	8105,	7765,	8021,	8293,	8675,	8455,	8489,	8216,	8157,	8188,	8637,	8496,	8264,	8845,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.68,	13.60,	1700,	1682
107,	8114,	7759,	8032,	8294,	8679,	8438,	8477,	8201,	8133,	8178,	8634,	8504,	8263,	8860,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.82,	14.68,	13.60,	1698,	1683
108,	8135,	7768,	8055,	8311,	8653,	8426,	8457,	8180,	8116,	8178,	8648,	8528,	8279,	8890,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.82,	14.65,	13.60,	1699,	1685
109,	8136,	7784,	8061,	8309,	8662,	8431,	8453,	8169,	8120,	8170,	8643,	8522,	8269,	8885,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.82,	14.65,	13.59,	1699,	1686
110,	8119,	7782,	8050,	8291,	8692,	8432,	8462,	8176,	8127,	8163,	8628,	8497,	8247,	8857,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.84,	13.82,	14.65,	13.59,	1700,	1688
111,	8103,	7768,	8042,	8283,	8681,	8429,	8458,	8182,	8129,	8164,	8624,	8488,	8246,	8848,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.84,	13.84,	14.65,	13.59,	1700,	1686
112,	8095,	7757,	8043,	8269,	8635,	8432,	8447,	8181,	8119,	8166,	8600,	8474,	8237,	8852,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.84,	13.84,	14.68,	13.59,	1698,	1687
113,	8097,	7750,	8044,	8253,	8643,	8437,	8450,	8178,	8109,	8166,	8581,	8459,	8222,	8853,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.84,	13.84,	14.68,	13.60,	1700,	1687
114,	8096,	7749,	8048,	8254,	8693,	8433,	8465,	8185,	8124,	8179,	8639,	8487,	8252,	8866,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.84,	14.68,	13.60,	1699,	1688
115,	8094,	7750,	8058,	8239,	8700,	8433,	8471,	8208,	8151,	8207,	8708,	8526,	8301,	8880,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.68,	13.60,	1699,	1689
116,	8097,	7741,	8069,	8213,	8704,	8442,	8476,	8219,	8157,	8226,	8722,	8530,	8308,	8876,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.64,	13.60,	1698,	1690
117,	8097,	7737,	8078,	8224,	8732,	8446,	8476,	8202,	8151,	8224,	8724,	8529,	8293,	8878,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.64,	13.57,	1699,	1692
118,	8096,	7738,	8085,	8244,	8730,	8445,	8461,	8195,	8151,	8218,	8727,	8537,	8294,	8891,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.85,	14.64,	13.57,	1698,	1694
119,	8097,	7746,	8086,	8233,	8719,	8444,	8457,	8216,	8157,	8220,	8721,	8539,	8296,	8890,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.82,	14.64,	13.57,	1699,	1697
120,	8103,	7749,	8086,	8226,	8741,	8449,	8473,	8225,	8163,	8223,	8730,	8539,	8298,	8893,	14.58,	14.40,	13.48,	1.76,	0.41,	2.03,	2.28,	12.41,	12.07,	12.30,	14.83,	13.82,	14.65,	13.57,	1699,	1697
