=====================
  Detection Session  
=====================
Name:		Bor3y
Source:		Session_2014_06_23_6128/[T][2014-06-23 15-53-54] Bor3y.csv
Date:		2014-06-23 16:05:08
Trials:		9
PreTime:	3
RecTime:	4
PostTime:	4
Classifier:	LEASTSQUARES_nClasses
AvgDetectTime:	0.14837887552
Triggers:	5427, 6950, 8473, 9995, 11518, 13040, 14563, 16085, 17608
Directions:	1, 1, 1, 2, 2, 3, 3, 1, 3
ClassesTypes:	2, 1, 1, 2, 2, 3, 3, 1, 3
ClassesNames:	RIGHT, LEFT, NEUTRAL

RawData:
Count,	F3,	FC5,	AF3,	F7,	T7,	P7,	O1,	O2,	P8,	T8,	F8,	AF4,	FC6,	F4,	Q_F3,	Q_FC5,	Q_AF3,	Q_F7,	Q_T7,	Q_P7,	Q_O1,	Q_O2,	Q_P8,	Q_T8,	Q_F8,	Q_AF4,	Q_FC6,	Q_F4,	GyroX,	GyroY
62,	8429,	8545,	9013,	7973,	8468,	8119,	8189,	8830,	8370,	8190,	7938,	8361,	8473,	8511,	12.28,	14.76,	14.76,	13.20,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1642,	1663
63,	8418,	8540,	8998,	7947,	8472,	8124,	8189,	8806,	8345,	8156,	7931,	8356,	8481,	8521,	12.28,	14.76,	14.76,	13.20,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1642,	1662
64,	8419,	8562,	9012,	7954,	8474,	8140,	8197,	8831,	8353,	8204,	7941,	8364,	8474,	8502,	12.28,	14.76,	14.76,	13.20,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1644,	1662
65,	8415,	8513,	8993,	7972,	8460,	8115,	8196,	8827,	8339,	8204,	7919,	8347,	8440,	8521,	12.28,	14.76,	14.76,	13.20,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1643,	1660
66,	8422,	8530,	9003,	7973,	8464,	8119,	8192,	8820,	8338,	8178,	7916,	8357,	8450,	8511,	12.28,	14.76,	14.76,	13.20,	6.53,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1644,	1662
67,	8451,	8593,	9034,	7954,	8463,	8146,	8207,	8839,	8348,	8183,	7938,	8385,	8493,	8501,	12.28,	14.76,	14.76,	13.20,	6.53,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	0.00,	1645,	1661
68,	8457,	8546,	9011,	7963,	8449,	8123,	8209,	8841,	8337,	8159,	7924,	8366,	8487,	8505,	12.28,	14.76,	14.76,	13.20,	6.53,	14.73,	13.01,	11.64,	7.45,	10.50,	15.16,	13.82,	9.56,	12.31,	1644,	1664
69,	8450,	8531,	9020,	7990,	8444,	8111,	8198,	8851,	8353,	8130,	7942,	8378,	8497,	8492,	12.28,	14.76,	14.76,	13.20,	6.53,	14.73,	13.01,	11.64,	7.45,	10.50,	15.16,	13.82,	9.56,	12.31,	1647,	1663
70,	8465,	8590,	9038,	7973,	8424,	8139,	8214,	8850,	8354,	8123,	7948,	8396,	8516,	8523,	12.28,	14.76,	14.76,	13.20,	6.53,	14.73,	13.01,	11.64,	7.45,	10.50,	15.11,	13.82,	9.56,	12.31,	1646,	1663
71,	8453,	8577,	9013,	7951,	8418,	8151,	8214,	8832,	8336,	8132,	7906,	8371,	8477,	8509,	12.28,	14.76,	14.76,	13.20,	6.53,	14.73,	13.01,	11.64,	7.45,	10.50,	15.11,	13.82,	9.56,	12.31,	1647,	1663
